smiles,solubility,quantile,cluster
Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57,6,1
CCCC(=O)C,-0.19,92,2
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-9.15,0,3
CCCOC(=O)CC,-0.82,85,12
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68,34,0
Nc1ccc(O)cc1,-0.8,86,9
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.81,50,6
OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931,9,6
CCNc1nc(Cl)nc(n1)N(CC)CC,-4.06,29,11
NC(=O)c1cnccn1,-0.667,88,11
CCC(Br)(CC)C(=O)NC(N)=O,-2.68,52,11
Clc1ccccc1c2ccccc2Cl ,-5.27,13,3
O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,-3.38,40,6
Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-5.46,12,9
CC1(C)C2CCC1(C)C(=O)C2,-1.96,68,0
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369,59,6
CCCCC(=O)OCC,-2.25,62,12
CC(C)CCOC(=O)C,-1.92,69,12
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886,9,6
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-6.01,9,3
CCCBr,-1.73,72,4
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.4930000000000003,38,6
COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,67,11
Cc1ncnc2nccnc12,-0.466,90,11
NC(=S)N,0.32,95,11
Cc1ccc(C)cc1,-2.77,51,5
CCc1ccccc1CC,-3.28,42,5
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,35,4
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.876,5,6
CCCN(=O)=O,-0.8,86,4
CC(C)C1CCC(C)CC1=O,-2.35,60,2
CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,-5.36,12,6
O=N(=O)c1c(Cl)c(Cl)ccc1,-3.48,38,9
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,-3.46,39,8
c1ccc2c(c1)c3cccc4cccc2c34,-6.0,9,11
CCCOC(C)C,-1.34,78,12
Cc1cc(C)c2ccccc2c1,-4.29,25,1
CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,-4.07,29,5
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.64,11,10
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25,4,3
C1OC1c2ccccc2 ,-1.6,74,5
CC(C)c1ccccc1,-3.27,42,5
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45,39,0
c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,-5.43,12,11
C1OC(O)C(O)C(O)C1O,0.39,96,11
ClCCl,-0.63,88,11
CCc1cccc2ccccc12,-4.17,27,5
COC=O,0.58,97,11
Oc1ccccc1N(=O)=O,-1.74,72,9
Cc1c[nH]c(=O)[nH]c1=O ,-1.506,76,11
CC(C)C,-2.55,55,4
OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-1.23,80,6
Oc1c(I)cc(C#N)cc1I,-3.61,36,5
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-4.7,19,6
CCCCC,-3.18,44,2
c1ccccc1O,0.0,94,10
Nc3ccc2cc1ccccc1cc2c3 ,-5.17,14,1
Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,-2.523,56,6
c1ccc2cnccc2c1,-1.45,77,1
COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-4.432,23,6
CCCCCCc1ccccc1,-5.21,14,5
Clc1ccccc1c2ccccc2,-4.54,21,3
CCCC(=C)C,-3.03,47,2
CC(C)C(C)C(C)C,-4.8,17,2
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,11,10
Oc1cccc(c1)N(=O)=O,-1.01,83,9
CCCCCCCCC=C,-5.51,11,2
CC(=O)OCC(COC(=O)C)OC(=O)C,-0.6,89,11
CCCCc1c(C)nc(nc1O)N(C)C ,-2.24,62,6
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.337000000000001,3,6
c1ccncc1,0.76,98,11
CCCCCCCBr,-4.43,23,2
Cc1ccncc1C,0.36,95,1
CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,-3.43,39,0
CCSCc1ccccc1OC(=O)NC ,-2.09,65,6
CCOC(=O)CC(=O)OCC,-0.82,85,12
CC1=CCC(CC1)C(C)=C,-4.26,25,11
C1Cc2ccccc2C1,-3.04,47,5
CC(C)(C)c1ccc(O)cc1,-2.41,58,5
O=C2NC(=O)C1(CC1)C(=O)N2 ,-1.886,70,8
Clc1cccc(I)c1,-3.55,37,10
Brc1cccc2ccccc12,-4.35,24,1
CC/C=C/C,-2.54,56,4
Cc1cccc(C)n1,0.45,96,11
ClC=C(Cl)Cl,-1.96,68,11
Nc1cccc2ccccc12,-1.92,69,1
Cc1cccc(C)c1,-2.82,50,5
Oc2ncc1nccnc1n2,-1.947,69,11
CO,1.57,99,11
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468,57,8
CCC(=O)C,0.52,97,2
Fc1c[nH]c(=O)[nH]c1=O ,-1.077,82,11
Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,-1.95,69,6
Oc1cccc(O)c1,0.81,98,10
CCCCCCO,-1.24,80,7
CCCCCCl,-2.73,51,2
C=CC=C,-1.87,70,4
CCCOC(=O)C,-0.72,87,12
Oc2ccc1CCCCc1c2 ,-1.99,67,5
NC(=O)CCl ,-0.02,93,4
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,6,6
Cc1ccc(Cl)cc1,-3.08,46,5
CSc1nnc(c(=O)n1N)C(C)(C)C,-2.253,62,6
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,-6.01,9,6
CCCCCC=O,-1.3,78,2
CCCCOC(=O)c1ccc(N)cc1,-3.082,46,5
O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ,-3.043,47,6
CC(C)=CCC/C(C)=C\CO,-2.46,57,4
Clc1ccc(cc1)c2ccccc2Cl ,-5.28,13,3
O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.523,6,6
CCN(=O)=O,-0.22,92,4
CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-6.124,8,6
Clc1ccc(Cl)c(Cl)c1Cl,-4.57,21,10
CCCC(C)(COC(N)=O)COC(N)=O ,-1.807,71,11
CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C ,-4.65,19,0
CI,-1.0,83,11
CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 ,-1.13,81,0
O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-6.301,7,6
CC1=CC(=O)CC(C)(C)C1 ,-1.06,82,11
O=C1NC(=O)NC(=O)C1(CC)C(C)CC,-2.39,58,8
CCCCC(=O)CCCC,-2.58,55,2
CCC1(CCC(=O)NC1=O)c2ccccc2 ,-2.337,61,6
CCC(C)CC,-3.68,34,2
CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3,-8.6,0,6
Cc1ccccc1n3c(C)nc2ccccc2c3=O,-2.925,49,6
ClCC#N,-0.092,93,4
CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl,-5.752000000000001,10,6
CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C ,-5.66,10,0
c1ccnnc1,1.1,99,11
Clc1cc(Cl)c(Cl)c(Cl)c1,-4.63,20,10
C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21,-7.32,3,0
Nc1ccccc1O,-0.72,87,9
CCCCCCCCC(=O)OCC,-3.8,33,12
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C ,-1.601,74,6
CNC(=O)Oc1ccccc1OC(C)C,-2.05,66,6
CCC(C)Cl,-1.96,68,4
Oc1ccc2ccccc2c1,-2.28,62,1
CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C,-5.696000000000001,10,6
CCCCC#C,-2.36,59,2
CCCCCCCC#C,-4.24,26,2
Cc1ccccc1Cl,-3.52,38,5
CC(C)OC(C)C,-1.1,82,12
Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,-3.094,45,11
CNN,1.34,99,11
CC#C,-0.41,90,4
CCOP(=S)(OCC)ON=C(C#N)c1ccccc1,-4.862,17,6
CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-3.408,39,11
C=CC=O,0.57,97,4
O=c1[nH]cnc2nc[nH]c12 ,-2.296,61,11
Oc2ccc1ncccc1c2 ,-2.16,64,1
Fc1ccccc1,-1.8,71,1
CCCCl,-1.47,76,4
CCOC(=O)C,-0.04,93,12
CCCC(C)(C)C,-4.36,24,2
Cc1cc(C)c(C)c(C)c1C,-4.0,30,5
CC12CCC(CC1)C(C)(C)O2 ,-1.64,73,0
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896,31,12
Clc1ccc(cc1)c2ccc(Cl)cc2 ,-6.56,6,3
Cc1cccnc1C,0.38,96,1
CC(=C)C1CC=C(C)C(=O)C1,-2.06,66,11
CCOP(=S)(OCC)SCSc1ccc(Cl)cc1,-5.736000000000001,10,11
COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67,-3.571,37,6
c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,-8.804,0,1
Cc1ccc(cc1N(=O)=O)N(=O)=O,-2.82,50,9
c1c(Br)ccc2ccccc12 ,-4.4,23,1
CNC(=O)Oc1cccc(N=CN(C)C)c1,-2.34,60,6
COc2cnc1ncncc1n2,-1.139,81,11
Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 ,-3.19,43,6
CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C,-3.658,35,11
CC(=C)C=C,-2.03,66,4
CC(C)=CCCC(O)(C)C=C,-1.99,67,4
COP(=S)(OC)Oc1ccc(SC)c(C)c1,-4.57,21,6
OC1CCCCC1,-0.44,90,7
O=C1NC(=O)NC(=O)C1(C)CC=C,-1.16,81,8
CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,-4.16,27,0
OCC(O)C(O)C(O)C(O)CO ,0.06,94,12
Cc1ccc(cc1)c2ccccc2,-4.62,20,5
CCNc1nc(Cl)nc(NC(C)C)n1,-3.85,32,11
NC(=S)Nc1ccccc1,-1.77,72,9
CCCC(=O)CCC,-1.3,78,2
CC(=O)C(C)(C)C,-0.72,87,2
Oc1ccc(Cl)cc1,-0.7,87,10
O=C1CCCCC1,-0.6,89,2
Cc1cccc(N)c1,-0.85,85,5
ClC(Cl)(Cl)C#N,-2.168,64,4
CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl,-4.046,29,6
CCCCCCCCC(=O)C,-3.3,41,2
CCN(CC)c1nc(Cl)nc(NC(C)C)n1,-3.785,33,11
CCOC(=O)c1ccc(N)cc1,-2.616,54,5
Clc1ccc(Cl)c(Cl)c1,-3.59,36,10
Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34,-4.09,29,6
Oc1ccccc1O,0.62,97,10
CCN2c1ncccc1N(C)C(=O)c3cccnc23 ,-2.62,54,6
CSC,-0.45,90,11
Cc1ccccc1Br,-2.23,63,5
CCOC(=O)N,0.85,98,12
CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O ,-5.35,12,0
CC(C)C(O)C(C)C,-1.22,80,7
c1ccc2ccccc2c1,-3.6,36,1
CCNc1ccccc1,-1.7,73,9
O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,-4.097,29,6
Cc1c2ccccc2c(C)c3ccc4ccccc4c13,-7.02,4,1
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-6.34,7,6
COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl,-6.89,5,5
Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F ,-7.28,4,6
O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.678,19,6
CN(C)C(=O)Nc1ccc(Cl)cc1,-2.89,49,9
OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,-3.37,40,6
CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O ,-4.13,28,0
CCCCBr,-2.37,59,4
Brc1cc(Br)c(Br)cc1Br,-6.98,5,11
CC(C)CC(=O)C,-0.74,87,2
CCSC(=O)N(CC)C1CCCCC1 ,-3.4,39,11
COc1ccc(Cl)cc1,-2.78,51,10
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.402000000000001,1,6
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-2.016,67,8
COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1,-4.04,29,9
Ic1cccc2ccccc12,-4.55,21,1
OCC(O)C(O)C(O)C(O)CO,1.09,99,12
CCS,-0.6,89,4
ClCC(Cl)Cl,-1.48,76,4
CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,-2.09,65,6
NC(=O)c1ccccc1O,-1.82,71,5
Cc1ccccc1N(=O)=O,-2.33,61,9
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,-2.766,51,8
CCc1ccccc1C,-3.21,43,5
CCCCCCCCl,-4.0,30,2
O=C1NC(=O)NC(=O)C1(CC)CC,-2.4,58,8
C(Cc1ccccc1)c2ccccc2,-4.62,20,5
ClC(Cl)C(Cl)Cl,-1.74,72,4
CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 ,-5.153,15,6
Cc1ccc2c(ccc3ccccc32)c1,-5.84,9,1
CCCCOC(=O)c1ccccc1C(=O)OCCCC ,-4.4,23,5
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,-4.02,30,10
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.523,97,11
CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O,-5.282,13,6
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,-4.5760000000000005,21,6
COc1ccc(cc1)N(=O)=O,-2.41,58,9
CCCCCCCl,-3.12,45,2
Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,-9.16,0,3
OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O,-0.41,90,11
CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334,1,2
CCN2c1ccccc1N(C)C(=O)c3cccnc23 ,-3.324,41,6
CC(Cl)Cl,-1.29,79,4
Nc1ccc(cc1)S(N)(=O)=O,-1.34,78,11
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,-6.49,6,6
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-4.64,20,4
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194,26,6
Clc1cccc(Cl)c1Cl,-4.0,30,10
ClC(Cl)(Cl)Cl,-2.31,61,11
O=N(=O)c1cc(Cl)c(Cl)cc1,-3.2,43,9
OC1CCCCCCC1,-1.29,79,7
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.999,30,0
CCOc1ccc(NC(N)=O)cc1,-2.17,64,9
C/C1CCC(\C)CC1,-4.47,22,2
c1cnc2c(c1)ccc3ncccc23,-2.68,52,1
COC(C)(C)C,-0.24,92,12
COc1ccc(C=CC)cc1,-3.13,45,5
CCCCCCCCCCCCCCCCO,-7.0,5,7
O=c1cc[nH]c(=O)[nH]1 ,-1.4880000000000002,76,11
Nc1ncnc2nc[nH]c12 ,-2.12,65,11
Clc1cc(Cl)c(cc1Cl)c2cccc(Cl)c2Cl ,-7.21,4,3
COc1ccc(cc1)C(O)(C2CC2)c3cncnc3 ,-2.596,54,6
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,-8.23,1,11
O=C(Nc1ccccc1)Nc2ccccc2,-3.15,44,9
CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 ,-2.322,61,6
Clc1ccc(cc1)c2cccc(Cl)c2Cl ,-6.29,7,3
CC(C)c1ccc(NC(=O)N(C)C)cc1,-3.536,38,9
CCN(CC)C(=O)CSc1ccc(Cl)nn1,-1.716,73,11
CCC(C)(C)CO,-1.04,83,7
CCCOC(=O)CCC,-1.75,72,12
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-3.22,43,9
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,-4.2,26,6
C1CCCCCC1,-3.51,38,2
CCCOC=O,-0.49,89,12
CC(C)c1ccccc1C,-3.76,33,5
Nc1cccc(Cl)c1,-1.37,77,9
CC(C)CC(C)C,-4.26,25,2
o1c2ccccc2c3ccccc13,-4.6,20,1
CCOC2Oc1ccc(OS(C)(=O)=O)cc1C2(C)C,-3.42,39,6
CN(C)C(=O)Nc1cccc(c1)C(F)(F)F,-3.43,39,9
c3ccc2nc1ccccc1cc2c3,-3.67,35,1
CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.11,45,0
OCC1OC(O)C(O)C(O)C1O,0.74,98,11
Cc1cccc(O)c1,-0.68,88,5
CC2Cc1ccccc1N2NC(=O)c3ccc(Cl)c(c3)S(N)(=O)=O ,-3.5860000000000003,37,6
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 ,-6.005,9,0
O=N(=O)c1ccc(cc1)N(=O)=O,-3.39,40,9
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,-2.696,52,8
CCCCCCCCCC(=O)OCC,-4.1,28,12
CN(C)C(=O)Nc1ccccc1,-1.6,74,9
CCCOCC,-0.66,88,12
CC(C)O,0.43,96,12
Cc1ccc2ccccc2c1,-3.77,33,1
ClC(Br)Br,-1.9,70,11
CCC(C(CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.43,23,5
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37,40,11
ClCc1ccccc1,-2.39,58,5
C/C=C/C=O,0.32,95,4
CON(C)C(=O)Nc1ccc(Br)c(Cl)c1,-3.924,31,9
Cc1c2ccccc2c(C)c3ccccc13,-6.57,6,1
CCCCCC(=O)OC,-1.87,70,12
CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C,-4.328,24,6
CC(=O)Nc1ccc(F)cc1,-1.78,72,9
CCc1cccc(CC)c1N(COC)C(=O)CCl ,-3.26,42,6
C1CCC=CC1,-2.59,54,2
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,-3.09,46,0
c1cncnc1,1.1,99,11
Clc1ccc(cc1)N(=O)=O,-2.92,49,9
CCC(=O)OC,-0.14,93,12
Clc1ccccc1N(=O)=O,-2.55,55,9
CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-4.77,18,9
CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C,-1.877,70,6
O=N(=O)c1ccccc1,-1.8,71,9
Ic1ccccc1,-3.01,47,1
CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O ,-3.78,33,6
COc1ccccc1OCC(O)COC(N)=O,-0.985,83,6
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC ,-4.19,27,6
Oc1cccc(Cl)c1Cl,-1.3,78,10
CCCC(=O)OC,-1.92,69,12
CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0,48,9
Nc3nc(N)c2nc(c1ccccc1)c(N)nc2n3,-2.404,58,6
CCCCCC(=O)OCC,-2.35,60,12
OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl ,-1.84,71,11
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,-5.47,11,9
COc1nc(NC(C)C)nc(NC(C)C)n1,-2.478,57,11
CCCCCCC=C,-4.44,22,2
Cc1ccc(N)cc1,-1.21,80,5
Nc1nccs1 ,-0.36,91,11
c1ccccc1(OC(=O)NC),-1.803,71,10
CCCC(O)CC,-0.8,86,7
c3ccc2c(O)c1ccccc1cc2c3 ,-4.73,18,1
Cc1ccc2cc3ccccc3cc2c1,-6.96,5,1
Cc1cccc(C)c1C,-3.2,43,5
CNC(=O)Oc1ccc(N(C)C)c(C)c1,-2.36,59,6
CCCCCCCC(C)O,-2.74,51,7
CN(C(=O)NC(C)(C)c1ccccc1)c2ccccc2,-3.35,41,6
CCCC(=O)CC,-0.83,85,2
Oc1c(Br)cc(C#N)cc1Br ,-3.33,41,5
Clc1ccc(cc1Cl)c2ccccc2 ,-6.39,7,3
CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,-4.873,17,6
Oc1cccc2ncccc12 ,-2.54,56,1
CC1=C(SCCO1)C(=O)Nc2ccccc2,-3.14,44,6
CCOc2ccc1nc(sc1c2)S(N)(=O)=O ,-3.81,32,6
Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-4.28,25,10
ClCBr,-0.89,84,11
CCC1(CC)C(=O)NC(=O)N(C)C1=O ,-2.23,63,8
CC(=O)OCC(=O)C3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-4.63,20,0
NC(=O)NCc1ccccc1 ,-0.95,84,5
CN(C)C(=O)Nc1ccc(C)c(Cl)c1,-3.483,38,9
CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.592,36,9
OC1CCCCCC1,-0.88,85,7
CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl ,-2.154,64,6
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O ,-3.36,41,8
CC(=O)Nc1nnc(s1)S(N)(=O)=O ,-2.36,59,11
Oc1ccc(cc1)N(=O)=O,-0.74,87,9
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,-6.307,7,6
C1CCOC1,0.49,96,12
Nc1ccccc1N(=O)=O,-1.96,68,9
Clc1cccc(c1Cl)c2cccc(Cl)c2Cl,-7.28,4,3
CCCCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3 ,-3.81,32,6
Cc1c(cccc1N(=O)=O)N(=O)=O,-3.0,48,9
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-4.42,23,0
CCN(CC)c1nc(Cl)nc(n1)N(CC)CC,-4.4110000000000005,23,11
ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O ,-5.4,12,6
c1(Br)c(Br)cc(Br)cc1,-4.5,22,11
OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O ,-3.952,31,6
O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,-2.356,60,8
c1(O)c(C)ccc(C(C)C)c1,-2.08,66,5
C1SC(=S)NC1(=O),-1.77,72,11
