measured log solubility in mols per litre,smiles
-3.04,CCNc1nc(NC(C)C)nc(SC)n1
-1.32,ClCCBr
-2.44,Cc1cccc(c1)N(=O)=O
-0.41,Nc1ccccc1
-4.04,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1
-7.42,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl 
-6.005,CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23 
-3.5380000000000003,CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C 
-2.32,CCOC(=O)c1ccccc1
-4.173,CC(=O)SC4CC1=CC(=O)CCC1(C)C5CCC2(C)C(CCC23CCC(=O)O3)C45
-0.78,c2ccc1[nH]nnc1c2
-3.6,c1ccc2ccccc2c1
-1.81,CCCCCCCO
-3.12,CCCCCCCl
-3.127,c1ccccc1n2ncc(N)c(Br)c2(=O)
-1.74,Oc1ccccc1N(=O)=O
-0.62,Cc1ccccc1O
-4.871,CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23 
-1.64,CC12CCC(CC1)C(C)(C)O2 
-3.03,CCCC(=C)C
-0.4,O=C1NC(=O)C(=O)N1 
-3.2,O=N(=O)c1cc(Cl)c(Cl)cc1
-1.96,CC1(C)C2CCC1(C)C(=O)C2
-6.176,c1cc2ccc3cccc4ccc(c1)c2c34
-4.571000000000001,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23
-1.6,CC(Cl)CCl
-3.952,OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O 
-2.64,C1CCCC1
-2.676,O=C1N(C2CCC(=O)NC2=O)C(=O)c3ccccc13
-2.322,CCC1(C(=O)NC(=O)NC1=O)c2ccccc2 
-2.93,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1 
-2.452,CCCOC(=O)c1ccc(N)cc1
-1.92,CN(C)c1ccccc1
-2.98,CN(C)C(=O)C(c1ccccc1)c2ccccc2 
-1.49,COc1ccc(C=O)cc1
-2.92,c1(OC)ccc(CC=C)cc1
-0.7,OCCOc1ccccc1
-4.64,CCCCCc1ccccc1
-9.15,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl 
-5.233,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12
-6.0,c1ccc2c(c1)c3cccc4cccc2c34
-4.15,C1CCCCCCC1
-4.522,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl
-3.01,CCCCCC#C
-1.82,NC(=O)c1ccccc1O
-0.807,Cn1ccc(=O)[nH]c1=O
-1.6,NC(=O)NC1NC(=O)NC1=O 
-3.26,CCc1cccc(CC)c1N(COC)C(=O)CCl 
-2.925,Cc1ccccc1n3c(C)nc2ccccc2c3=O
-8.01,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl 
-3.38,CCCCCCCCC(=O)OC
-3.61,Oc1c(I)cc(C#N)cc1I
-1.77,C1SC(=S)NC1(=O)
-2.22,O=N(=O)OCC(CON(=O)=O)ON(=O)=O 
-4.0,CCNc1nc(NC(C)(C)C)nc(SC)n1
-1.85,COC(=O)c1ccccc1
-0.14,CCC(=O)OC
-6.86,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl
-6.89,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl
-0.88,OC1CCCCCC1
-0.77,CCOCCOCC
-5.839,CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O
-6.25,Clc1ccc(cc1)c2cc(Cl)ccc2Cl 
-1.886,O=C2NC(=O)C1(CC1)C(=O)N2 
-4.89,Cc1ccc2cc(C)ccc2c1
-4.37,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C 
-2.22,CC(C)c1ccc(C)cc1O
-2.67,Oc1ccc(Cl)c(Cl)c1Cl
-3.15,Oc1cc(Cl)c(Cl)c(Cl)c1Cl
-6.8,ClC1(C2(Cl)C3(Cl)C4(Cl)C5(Cl)C1(Cl)C3(Cl)Cl)C5(Cl)C(Cl)(Cl)C24Cl
-3.17,CCCCCCCC(=O)OC
-2.46,CC(C)=CCC/C(C)=C\CO
-4.09,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34
-2.31,ClC(Cl)(Cl)Cl
-2.564,COc1ccc(NC(=O)N(C)C)cc1Cl
-6.96,Cc1ccc2cc3ccccc3cc2c1
-3.37,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC
-0.66,CCOC(=O)CC
-5.46,OC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl 
-3.81,CCCCCCBr
-0.7,Oc1cccc(Cl)c1
-5.23,Cc1c(C)c(C)c(C)c(C)c1C
-3.04,FC(F)(Cl)C(F)(Cl)Cl
-5.931,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O
-4.873,CN(C(=O)COc1nc2ccccc2s1)c3ccccc3
-6.59,c1cccc2c3c(C)cc4ccccc4c3ccc12
-4.45,N(=Nc1ccccc1)c2ccccc2
-4.86,CCN(CC)C(=S)SSC(=S)N(CC)CC
-5.35,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O 
-3.12,O=C(c1ccccc1)c2ccccc2
-4.47,C/C1CCC(\C)CC1
-2.86,CN(C)C=Nc1ccc(Cl)cc1C
-2.82,Cc1ccc(cc1N(=O)=O)N(=O)=O
-3.85,CCNc1nc(Cl)nc(NC(C)C)n1
-3.03,CCN(CC)c1ccccc1
-4.445,Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F
-4.194,CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C
-2.35,CCCCCC(=O)OCC
-2.982,O=C2NC(=O)C1(CCCCCCC1)C(=O)N2
-2.6,ClC(Cl)C(Cl)(Cl)Cl
0.62,Oc1ccccc1O
-7.92,Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
-4.3,C/C1CCCCC1\C
-5.46,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2
-4.29,Cc1cc(C)c2ccccc2c1
-3.63,Clc1ccc(Br)cc1
-1.64,ClC(=C)Cl
-1.08,CC=C
-7.02,Cc1c2ccccc2c(C)c3ccc4ccccc4c13
-3.408,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C
-0.22,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
-1.26,Cc1ncc(N(=O)=O)n1CCO 
-1.228,O=C1NC(=O)NC(=O)C1(C)CC
1.1,c1cncnc1
-6.01,Clc1cccc(c1)c2cc(Cl)ccc2Cl 
-3.28,CCc1ccccc1CC
-7.278,ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl
0.32,NC(=S)N
-4.099,CC1CC2C3CCC(O)(C(=O)C)C3(C)CC(O)C2(F)C4(C)C=CC(=O)C=C14
0.11,CC1CCCO1
-4.12,CC(C)Cc1ccccc1
-0.972,Nc1nc(=O)[nH]cc1F
-0.67,CCC(C)C(=O)C
-2.338,CC1(C)CON(Cc2ccccc2Cl)C1=O
-5.507000000000001,CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C
0.43,CC(C)O
1.58,CC(=O)N
-1.5,c2ccc1scnc1c2 
-3.999,CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C
-0.59,CCCC(O)C=C
-2.22,Oc1cccc2ccccc12
-4.17,CCc1cccc2ccccc12
-7.25,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2
-0.03,C1CCOCC1
-1.79,Oc1c(Cl)cccc1Cl
-0.24,COC(C)(C)C
-3.672,O2c1ccccc1N(C)C(=O)c3cccnc23 
-2.33,CC(=C)C
-3.68,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO
-2.33,Cc1ccccc1N(=O)=O
-1.47,CCCCC(O)CC
-4.13,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O 
-3.48,CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) 
-0.72,CC(=O)C(C)(C)C
-1.52,Nc1ccccc1Cl
-1.947,Oc2ncc1nccnc1n2
-1.34,Oc1cc(Cl)cc(Cl)c1
-3.18,Sc2nc1ccccc1s2 
-2.9,Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4 
-5.21,CCCCCCc1ccccc1
-2.56,CC=C(C)C
-5.0,C1c2ccccc2c3ccccc13
-2.62,CCN2c1ncccc1N(C)C(=O)c3cccnc23 
-3.39,CCN(CC)C(=S)SCC(Cl)=C
-2.4,O=C1NC(=O)NC(=O)C1(CC)CC
-1.94,CCC
-4.42,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C 
-3.85,CC1CCCCC1
-3.893,CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O 
-2.36,CCCCC#C
-1.45,CCCCCC(=O)C
-1.877,CN1CC(O)N(C1=O)c2nnc(s2)C(C)(C)C
-0.466,Cc1ncnc2nccnc12
-4.73,c3ccc2c(O)c1ccccc1cc2c3 
-2.77,Clc1cccc(c1)N(=O)=O
-0.8,CCCCC(=O)C
-5.24,CC(C)=CC3C(C(=O)OCc2cccc(Oc1ccccc1)c2)C3(C)C 
-9.332,c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67
1.02,Oc1ccccn1
-0.7,Oc1ccc(Cl)cc1
-0.31,NC(N)=NC#N 
-4.36,CCCC(C)(C)C
-3.796,CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O
-6.78,CCN(Cc1c(F)cccc1Cl)c2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O
-2.82,Cc1cccc(C)c1
-2.34,Oc1c(Cl)cc(Cl)cc1Cl
-4.907,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3
-2.03,CC(=C)C=C
0.61,NC(=O)c1cccnc1 
-5.41,CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O
-4.8,CC12CC2(C)C(=O)N(C1=O)c3cc(Cl)cc(Cl)c3
-1.83,c1c(NC(=O)OC(C)C(=O)NCC)cccc1
-2.39,O=C1NC(=O)NC(=O)C1(CC)C(C)CC
-3.24,CC(=O)Nc1cc(NS(=O)(=O)C(F)(F)F)c(C)cc1C
-3.68,CCSC(=O)N(CC(C)C)CC(C)C
-3.04,C1Cc2ccccc2C1
-2.7,c1cc(O)c(O)c2OCC3(O)CC4=CC(=O)C(O)=CC4=C3c21
0.32,CC=CC=O
-4.71,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C
-1.71,FC(F)(F)C(Cl)Br 
-5.03,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O
-2.0,Fc1cccc(F)c1
-0.72,CCCOC(=O)C
-5.613,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
-3.924,CON(C)C(=O)Nc1ccc(Br)c(Cl)c1
-1.94,CCC=C
-2.34,CNC(=O)Oc1cccc(N=CN(C)C)c1
-3.22,Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O
-1.17,BrCBr
-4.25,CCC1CCCCC1
-2.74,CCCCCCC(=O)OCC
-4.46,Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl
-8.4,CCCCCCCCCCCCCCCCCCO
-0.82,c1ccoc1
-2.273,Sc1nccc(=O)[nH]1 
-0.85,CCC(O)(CC)CC
-1.899,c1c(OC)c(OC)C2C(=O)OCC2c1
-3.14,BrC(Br)(Br)Br
-1.06,ClCC
-2.692,CC(=O)Nc1ccc(cc1)N(=O)=O
-1.37,CCCCOC=O
-2.18,CCCCS
0.1,CC(C)CO
-2.37,Nc1ccc(cc1)N(=O)=O
-3.73,CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3 
-1.28,CNc1ccccc1
-4.376,CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2
-3.082,CCCCOC(=O)c1ccc(N)cc1
-1.99,CC(C)=CCCC(O)(C)C=C
-4.48,Clc1cc(Cl)cc(Cl)c1
-7.39,Clc1ccc(c(Cl)c1)c2cc(Cl)c(Cl)c(Cl)c2Cl 
-4.0,Cc1cc(C)c(C)c(C)c1C
-3.38,CC(C)OC(=O)Nc1cccc(Cl)c1
-3.4930000000000003,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl
0.52,CCC(=O)C
-1.34,Nc1ccc(cc1)S(N)(=O)=O
-1.24,CCC#C
-0.4,C=C
-1.46,CCNC(=S)NCC
-1.11,COc2ncc1nccnc1n2
-2.53,CC(C)C1CCC(C)CC1O 
-2.4,CC(=C)C(=C)C
-0.82,CCOC(=O)CC(=O)OCC
-2.928,COCCCNc1nc(NC(C)C)nc(SC)n1
-1.827,COC(=O)c1ccc(O)cc1
-2.03,CCCCCl
-2.17,CCOc1ccc(NC(N)=O)cc1
-3.592,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1
-4.21,c1c(NC(=O)c2ccccc2(I))cccc1
-2.932,c1cC2C(=O)NC(=O)C2cc1
-2.7,Fc1ccccc1Br
-1.74,CC12CCC(CC1)C(C)(C)O2
0.106,CNC(=O)ON=C(SC)C(=O)N(C)C
-1.04,c2ccc1NCCc1c2 
-0.77,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O 
-5.4,ClC(Cl)C(Cl)(Cl)SN2C(=O)C1CC=CCC1C2=O 
-4.328,CN(C)C(=O)Nc1ccc(c(Cl)c1)n2nc(oc2=O)C(C)(C)C
-5.47,CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C
-7.0,CCCCCCCCCCCCCCCCO
-5.284,CC(=O)OC3(C)CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
-1.6,CCI
-3.55,CCC(C)(C)C
-3.38,CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O 
-5.115,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC 
-4.16,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C 
-4.65,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C 
-7.2,ClC(Cl)C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
-0.6,CC(=O)OCC(COC(=O)C)OC(=O)C
-4.38,c1ccc2c(c1)sc3ccccc23
-3.48,O=N(=O)c1c(Cl)c(Cl)ccc1
-1.62,CNC(=O)ON=C(CSC)C(C)(C)C 
-8.6,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3
-4.19,ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl 
-6.96,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
-0.45,CSC
-5.27,Clc1ccccc1c2ccccc2Cl 
-3.43,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO 
-3.324,CCN2c1ccccc1N(C)C(=O)c3cccnc23 
-4.29,CCc1ccc2ccccc2c1
-1.716,CCN(CC)C(=O)CSc1ccc(Cl)nn1
-2.09,C=CCC=C
-4.63,C1Cc2cccc3cccc1c23
-0.79,CBr
-0.91,COc2cnc1cncnc1n2
-1.989,Nc1cc(nc(N)n1=O)N2CCCCC2 
-3.43,CN(C)C(=O)Nc1cccc(c1)C(F)(F)F
-2.0,ClC(Cl)(Cl)N(=O)=O
-3.043,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 
-6.9,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2
0.26,CC#N
-1.96,CCC(C)Cl
1.12,OCC(O)CO
-6.124,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O
-5.54,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC
-1.0,CI
-3.59,CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C 
-5.64,ClC2=C(Cl)C3(Cl)C1C=CCC1C2(Cl)C3(Cl)Cl 
-2.218,CN(C)C(=O)NC1CCCCCCC1
-4.74,CC(C)CC(C)(C)C
-2.369,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1
-4.71,CCCCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)CO
-4.62,Cc1ccc(cc1)c2ccccc2
-3.896,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
-6.08,CCCCCC1CCCC1
-2.09,CCSCc1ccccc1OC(=O)NC 
-1.96,COc1ccccc1N(=O)=O
-4.69,CCCCCCCCCCCC(=O)OC
-5.66,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C 
-0.15,OCCCC=C
-2.55,CC(C)C
-2.33,CCOc1ccccc1
-5.56,Clc1cc(Cl)c(Cl)cc1Cl
0.51,CCc1ccccn1
0.522,Nc1nc[nH]n1
-2.8,CNC(=O)Oc1cccc2CC(C)(C)Oc12
-5.47,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O
-0.24,CCC(O)CC
-0.742,COC(=O)c1ccccc1OC2OC(COC3OCC(O)C(O)C3O)C(O)C(O)C2O
-2.8310000000000004,Clc2ccc1oc(=O)[nH]c1c2
-7.82,Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl 
-2.92,Clc1ccc(cc1)N(=O)=O
-3.8,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
0.26,CN(=O)=O
-2.478,COc1nc(NC(C)C)nc(NC(C)C)n1
-0.89,CCCCC(C)O
-2.89,CN(C)C(=O)Nc1ccc(Cl)cc1
-3.754,CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23
-7.01,Cc1c(C)c2c3ccccc3ccc2c4ccccc14
-5.05,CCCCCCCC=C
-0.83,CCCC(=O)CC
-1.06,CC1=CC(=O)CC(C)(C)C1 
-3.64,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C
-3.59,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
-3.2460000000000004,COC1=CC(=O)CC(C)C13Oc2c(Cl)c(OC)cc(OC)c2C3=O
-0.82,CCCOC(=O)CC
-8.402000000000001,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
-3.18,C1CCC=CCC1
-1.48,ClCC(Cl)Cl
-2.1,C1CC=CC1
-2.55,Clc1ccccc1N(=O)=O
-3.21,Clc1cccc(Br)c1
-2.35,CCOC(=O)c1ccc(O)cc1
-4.12,CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O
-6.57,Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl 
-8.94,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl
-5.84,CCCCCCCCCCCCCCO
-4.735,CCOC(=O)c1cncn1C(C)c2ccccc2
-2.74,CCCCCCCC(C)O
-3.9,CN(C)C(=S)SSC(=S)N(C)C 
-6.025,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
-4.19,CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC 
-2.36,CC(=O)Nc1nnc(s1)S(N)(=O)=O 
-2.25,CCCCC(=O)OCC
-2.11,CCCCC(CC)CO
-6.34,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O
-5.37,CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C 
-5.17,Nc3ccc2cc1ccccc1cc2c3 
-7.28,Clc1cccc(c1Cl)c2cccc(Cl)c2Cl
-3.05,Clc1ccccc1Cl
-3.664,COc2c1occc1cc3ccc(=O)oc23 
-5.36,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 
-3.37,CCCc1ccccc1
-5.666,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl
-5.14,CCCCSP(=O)(SCCCC)SCCCC
-4.1,CSc1nc(NC(C)C)nc(NC(C)C)n1
-2.21,Oc1cc(Cl)c(Cl)cc1Cl
-4.14,Clc1ccc2ccccc2c1
-3.33,Oc1c(Br)cc(C#N)cc1Br 
-1.3,c1ccc2ncccc2c1
1.1,CCO
-1.655,O=C2NC(=O)C1(CCC1)C(=O)N2
-6.523,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
-1.96,Nc1ccccc1N(=O)=O
-3.18,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO
-4.445,OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5 
-1.66,Nc1ccc(Cl)cc1
-2.08,c1(O)c(C)ccc(C(C)C)c1
-1.19,Cc1ccc(O)c(C)c1
-4.2860000000000005,CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl
-3.61,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2
-3.93,O=c2[nH]c(=O)c1[nH]c(=O)[nH]c1[nH]2 
-5.24,CCCCCCCC
-1.7,CCNc1ccccc1
-4.26,CC(C)CC(C)C
-1.41,CC(C)Cl
0.96,NC(=O)N
-6.29,Clc1ccc(cc1)c2cccc(Cl)c2Cl 
-2.58,CCCCCCCC(=O)C
-4.88,CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl
-4.4,c1c(Br)ccc2ccccc12 
-2.337,CCC1(CCC(=O)NC1=O)c2ccccc2 
-3.27,CC(C)c1ccccc1
-4.11,CC1CCCCC1NC(=O)Nc2ccccc2
-4.11,CCOP(=S)(OCC)SCSCC
0.32,C/C=C/C=O
-5.53,CCCCN(CC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O
-1.44,CSSC
-5.26,c1ccc2c(c1)ccc3ccccc32
-3.168,O=C2NC(=O)C1(CCCCCC1)C(=O)N2 
-3.11,CC12CC(=O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO
-3.1,C1CCCCC1
-5.89,Cc1c2ccccc2cc3ccccc13
-2.06,CC(=C)C1CC=C(C)C(=O)C1
-4.862,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1
-3.54,Brc1cccc(Br)c1
-1.34,CCCOC(C)C
-3.85,CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O 
-2.68,CCC(Br)(CC)C(=O)NC(N)=O
-1.89,CCCCCOC(=O)C
-4.0,CCCCCCCCl
-1.14,CC(C)CCCO
-5.24,CC34CCc1c(ccc2cc(O)ccc12)C3CCC4=O
-4.53,c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C
-2.73,CCCCCCl
-1.92,CC(C)CCOC(=O)C
-5.21,Clc1cccc(Cl)c1c2ccccc2 
-0.96,Oc1ccc(C=O)cc1
-0.36,CCC(C)(O)CC
-7.32,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21
-2.78,COc1ccc(Cl)cc1
-1.77,NC(=S)Nc1ccccc1
-0.4,OCc1ccccc1
-3.46,O=C(C=CC=Cc2ccc1OCOc1c2)N3CCCCC3
-7.8,Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl 
-4.432,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1
0.46,COC(=O)C
-3.239,CCNc1nc(NC(C)(C)C)nc(OC)n1
-2.42,Cc1c[nH]c2ccccc12 
-2.63,NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl 
-1.03,CC(=O)Nc1ccc(O)cc1
-3.364,CN(C)c1nc(nc(n1)N(C)C)N(C)C
-3.499,Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O
-2.24,CCCCc1c(C)nc(nc1O)N(C)C 
-1.45,c1ccc2cnccc2c1
-4.31,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O
-3.59,NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F
-4.14,Cc1ccc(C)c2ccccc12
-11.6,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl 
-2.8,Cc1ccccc1C
-4.047,FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O
-1.64,CCCC#C
-5.27,c1ccc2c(c1)[nH]c3ccccc32
0.58,COC=O
-1.28,CCCCCOC(=O)CC
-4.77,CCCCN(C)C(=O)Nc1ccc(Cl)c(Cl)c1
-6.98,Brc1cc(Br)c(Br)cc1Br
-4.402,CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O
-3.083,CC(=O)Nc1ccc(Br)cc1
-0.66,CCCOCC
