smiles,g298_atom
c1cocc(c1=O)N,-1289.979663935
CC1C2CN2C1(C)C#C,-1792.7059892491
CC1CC(=O)CC1=O,-1516.022838442
CC1C2CC(N2C)C1=O,-1780.5090968161
CC(C)(CC=O)CO,-1711.136094339
CC1=CCc2c1[nH]cc2,-1762.2925105461
CC1CCC1CNC=O,-1917.1805570161
CNC(=O)N1C2CCC12,-1680.583308638
C1C(CO1)(CCO)CO,-1769.329396472
CC(C)(C#CCC#C)O,-1748.050566282
OC1C2COC1C2C#C,-1581.088619143
NC(CC#C)C(O)C#N,-1555.4611515831
CN1C(COC1=O)C#C,-1523.713588746
CC12C3CC1(C3)CC2=O,-1722.7851714151
Cn1cc(c(c1)OC)N,-1692.047270559
Cc1c(c(co1)O)CO,-1587.294683153
CN1CCC(C#C)C1=O,-1688.2364084021
CCC1OC11COC1=O,-1572.7120015021
N#CC1COC1C1CN1,-1548.203382489
OC12CCC1(O)C2C#C,-1577.21249605
COC(=O)C1CCC1=O,-1597.291529032
N=C1NCC2=C1N=NO2,-1260.065682396
CC1[NH2+]CC1C([O-])=O,-1497.1065796371
CC1C2CC(=O)C1CO2,-1752.155102651
CCC1OCC1CC#C,-1868.118138342
CC12CN3CC3C1O2,-1513.469504321
Cc1c(oc(=O)[nH]1)C#C,-1425.746883666
CN=COC1CC1O,-1465.184569298
c1c(nc([nH]1)CC#N)O,-1392.6721392941
C#CCC12CC(C1)C2,-1644.140095954
NC1=C(N=CN1)C1CO1,-1473.889374146
CNC(CN1CC1)C#N,-1720.907036978
OC1C(O)C11CC2NC12,-1573.2748770751
c1cnc(nc1CO)O,-1450.458815595
C#CC12COC1CC=C2,-1644.9420524561
C1CC(C1)C2CCC2,-1908.1958831541
CC1OC(C2CO2)C1O,-1656.3627162561
OC1C2CC=CC1C2=O,-1625.0054640171
OC1CCC(=O)C2CC12,-1744.953809367
OC1C2CC1(CO2)C=O,-1552.2840735161
CC#CCC1CC1O,-1618.767397048
CNc1[nH]cc(n1)C#C,-1521.981036397
C#CC1CC2CC12C#N,-1589.6277616151
CCC1CN1C1CC1O,-1872.265972832
COC(=O)C1COC1=N,-1481.651660476
CC1(CN(C1)CC#N)O,-1677.357284869
O1C=C2C=CN=C2N=N1,-1251.902417815
COCCNC(=N)C=O,-1635.324222013
CN=c1cnoc(n1)O,-1297.80156362
CC(O)C=O,-946.537713145
C1OC1C1=CNC=N1,-1326.8640154461
C1CCC2(C1)COC2=O,-1762.0076214601
CC1C2OC(C#C)C12O,-1565.263469672
c1c[nH]c2c1[nH]nc2N,-1429.093389163
CCCC(C)C1CC1O,-2117.9344913141
CCC12NC1CC2=NO,-1632.741394969
CC(C)(C1(CC1)C#N)O,-1795.9219728741
CCN1CC2C(C#N)C12,-1716.804383136
CC1CCCC1CC=O,-2030.0556209181
CC1C2C(=O)C1C21CC1,-1752.797671867
CCC1CC(O)(C1)C=O,-1852.1110112611
CC1CC(C)C(CO)=C1,-2021.2221767251
COC1OC2CC2C1C,-1838.010884031
c1c[nH]c2c1OCCN2,-1586.444408458
O=C[CH-]C(=O)C1CC[NH2+]1,-1626.7060134071
CN1C2CC(C=O)=CC12,-1673.592858378
COC1OCC2NC12,-1462.57287684
N#CC1CC2C3CC3C12,-1704.461908615
CC1=C(CCCC1)C,-1942.575218737
C1COC1=NCCO,-1480.378444715
NC1=NC(O)=CC(=N)O1,-1344.509568526
C#CC1NC11CN2CC12,-1549.694343873
COC12CC1C=C(C)C2,-1892.904743842
N1C2C3OC4OC3C2C14,-1487.402780461
O=C1CCC11CC2OC12,-1596.429959175
O=C1CC2CC2N=CO1,-1528.1588625021
CC1CCC1NCC#N,-1845.2805757961
CCN1CC1CCO,-1739.813883148
CC12COCC1(N2)C#N,-1571.999151278
CC(O)C1=C(O)NC=N1,-1547.8582525391
[O-]C(=O)C12CC(CC1)[NH2+]2,-1638.414703838
CCC1COC(C=O)=N1,-1643.698329618
CC12C(O)C1CC2(C)O,-1828.000232954
ON=C1C(O)C2OCC12,-1404.677641482
CCC1(C)CC(C)C=C1,-2190.525359943
CC(=O)OC1CN(C1)C,-1748.919666247
c1c2c(co1)C=CC2,-1438.0379024491
CC1(CO1)C(=O)CO,-1425.092391779
COCC(C)NCC#N,-1793.5073182421
CC(C1CC1)C1CO1,-1734.4869592471
CCC1(CC=O)CC1C,-2014.7029857241
CC1OC(=O)C1C1CC1,-1746.0481850631
OCC1NC=NC1C#C,-1551.0522733491
N#CC1=CCC2OCC12,-1573.712250848
CC12C3CC(C13)C2=O,-1515.3852892981
CCOC(=O)CC1CO1,-1693.504973966
COC(=O)N(C=N)C=O,-1391.9530139801
CC1N=COC1C#N,-1335.223690344
CC1C2(O)CC(O)C12O,-1654.8654797821
CC1C(CO)CNC1=O,-1769.2176998701
CC12COCC3CN1C23,-1763.638517351
CC1=CC(C#C)C2NC12,-1697.6854389241
CC1(O)C2CC1(C2)C#C,-1732.837238086
c1c(non1)C(F)(F)F,-953.8645082291
COc1cnc(nn1)F,-1236.390395335
CCCC12CC(C1)CC2,-2176.8111507481
O=C1CC23OCC2OC13,-1418.580103377
CC1C2CC1C1CC1O2,-1875.7806507411
Cc1conc1OC=O,-1363.504265956
CC1CC2CC1(C2)C=O,-1900.3501381271
OC1CC(=O)C(=O)C1O,-1420.015843969
O=CCC1C2CC1C2=O,-1601.2680535651
COC1OCC(=O)C1=O,-1410.5724610281
CC12CN=COCC1O2,-1617.710671892
CC(C)(C)C(O)C(N)=O,-1882.115354096
CC12CC1C(C=O)=CN2,-1690.2193368421
c1cc(nc(c1F)O)F,-1247.2582237061
COC(C)C12CC1CO2,-1811.836228623
N#CC12CC1C1CN1C2,-1608.8966804781
CC(C)CNC(=O)OC,-1888.2793750031
CCC1(C)CC1(C)C#N,-1967.9265823371
c1cocc(c1=O)O,-1225.088330736
CC1=C(C)C2(C)OC2C1,-1905.6143111281
CC1NC2=NCCOC12,-1676.30871733
CC(=O)NC1C2CC1C2,-1783.481606949
CCC1=C(C)C(C)CC1,-2197.6519796561
CNC(=[NH2+])C1=CN=N[N-]1,-1419.975055884
CN(C)c1ncco1,-1448.516047731
CC1C(O)CC1CC#C,-1869.910931555
NC(=O)C(O)(C#C)C#N,-1293.080185904
CC(C)(CC(=O)N)O,-1631.349580007
c1c(c([nH]n1)N)CC#N,-1435.066647334
CCC1OC(=O)C1C,-1618.146163138
O=C1CC2(CC#C)CC12,-1646.6244040851
COC(C1CO1)C(C)=O,-1668.892188459
OC12C3NC1C3C2C=O,-1456.113299194
CC1C(CCO)C1C#N,-1793.474060265
CCC1CC2=CCCC12,-2055.853770926
CC12CC1C1OCC1=C2,-1753.8380817891
NC12CC1N1N=CN=C21,-1376.482407094
C1CC23CC4C(O2)C4C13,-1760.2468312061
CC(C)(C)C12CC1CO2,-1989.5342272431
CC1OCCC1(N)C#N,-1695.024800764
OCC12OCC3C1NC23,-1579.2625679531
CN1C=CC=C1OC=N,-1590.902859903
CC12NC3=CC(=O)C1C23,-1499.873266818
CC(C)(COC=O)C=O,-1706.963159489
CN1C2C=CCC12C=O,-1672.4966001551
CC(CCO)C(=O)CO,-1803.090008181
CCc1c(cn(n1)C)C,-1875.3188041171
CC(C#N)C1CCC1C,-1965.634919469
C(C#CC=O)OCC#N,-1382.1670111251
COC1C(C)C2CC12C,-1990.996323213
N#CC12CCOC1CO2,-1512.972517193
C1CC=C(C1)C#N,-1358.728922466
CC(=O)C1(CCO1)C#C,-1598.412887615
C1CC12COC(=O)CO2,-1578.0985387581
COC1CC=CC=CC1,-1899.2444672691
CC1CCC(C=O)C1=O,-1765.1119084831
COC(C#C)C(F)(F)F,-1275.1491162291
N=C1OC2CC2C11CO1,-1498.793951338
C1CC23C1CC1C2CC31,-1903.847245784
OC1C2CN2C2CCC12,-1763.413869129
OC1CC=CC1(O)C#N,-1524.814867041
CCC(=NO)C(=NO)C,-1593.429838646
CC12CCC1(C#C)C2O,-1749.3168794441
c1nc2c(o1)CCC2=O,-1438.049197611
CC1OC2COCC12,-1585.655629645
CC(=O)N(C)C(=O)OC,-1616.1067588881
CC12CN1C(=N)C21CO1,-1532.982524185
c1c(oc(=O)c(n1)O)F,-1145.5289746621
CC1C(O)C1(O)CC=O,-1675.678070785
OCC1(O)CCCC1=O,-1700.703757214
Cc1cn2c(n1)CC2,-1490.252926339
CC1C(O)C(C)C1C=O,-1845.799525739
N=C1C2CC(C2)N1C=O,-1581.820294637
CC1(CO1)C(O)CC#C,-1699.835912267
CN(C=O)C1(CC1)C#C,-1662.231180424
N=C1ON=CN=C1C=O,-1173.126192973
CC(C)Cc1ccc[nH]1,-1987.1427904441
CC1(C=O)C(O)CC1=O,-1580.2182641601
OC1CC(C=O)C2OC12,-1564.9308899021
CC(C#N)C(C)=O,-1310.3122105531
C1CC2C3CC1C2C=C3,-1960.8564384341
CC1C2CC1(O)C=CC2,-1896.7181160351
CCC(=O)C1C2CCN12,-1773.9051921
C#CCNc1ncco1,-1454.882754045
C1OC1C1=CNN=N1,-1196.1595383271
Cc1ccc(nc1C)C,-1897.0896013631
COC1CC2(O)CC12O,-1649.253039286
OC1C=CCC1=O,-1238.7680269361
C1C(=NO)CNC1=O,-1272.536168753
CC1CC(O)C(=O)CN1,-1755.6685255421
CC#CC1(CC1)C=O,-1518.3628195031
O=CC12CC1(CN2)C#N,-1447.7059336121
Cc1cnnn1CC#C,-1498.7575558161
C1CN1C2=NCC(=O)N2,-1484.0430972751
COC1CC2NC(=O)C12,-1622.288977556
CN1CC1(C)C(O)CO,-1827.864063501
CC[NH+]=C(N)CC([O-])=O,-1674.013289408
C1C2CC3COCC2C13,-1893.0120478811
O=CC(C#C)N1CC1,-1381.3556419881
CC1CC2CC1(O)C2=O,-1738.5921231251
C1C2NC1C1=C2NN=C1,-1486.4477117631
COC1C2CC(CO)C12,-1813.0674012811
Cc1coc(n1)NC,-1457.104135905
OC(C#C)C1CC2OC12,-1566.7644712
COC12CC(OC1)C2C,-1825.591225903
CC1NC11CNCC1=O,-1683.670025409
C1C2C3OC3C3OC2C13,-1577.75842888
OC12CC(CC1)C21CN1,-1764.867807482
OCC12CCN1C(=O)C2,-1617.9510078391
c1c(c(no1)C#N)CO,-1294.752497389
CC(C)c1cc(no1)N,-1693.2859733251
NC(=O)C1COC1=O,-1248.335656659
COC1C(C)C2OCC12,-1816.218751479
CCCC(O)CC#C,-1739.43612273
OCC12CC(C1)C21CC1,-1848.632101365
CC1C2OC1C2=O,-1186.753805926
CC1(C)OC(=N)C1(C)O,-1750.033494722
CC1C2OC3(CC3O)C12,-1689.070367863
CCC(C)(C#C)C(C)O,-1995.2414215981
CC1CC2CC2(N1)C#N,-1740.4978679581
CC(O)C12CC(O)C1N2,-1710.9842371611
CC1CC(C1O)C(C)=O,-1855.9093232381
CC1CCCC(C)C1=O,-2043.829443468
CC#CC1CCCC=C1,-1949.4025166571
CN1C2CC3C4C1C2N34,-1690.071244718
CCC(C)C1CC(=O)O1,-1871.7426303261
CN=C1N=NOC(N)=N1,-1314.381606418
C1OC2C3OC3C2O1,-1279.800212937
CC(O)C(O)(C#C)C#C,-1569.986729915
CN=COCC(O)CO,-1678.282860644
CCC(C)C12CC1CC2,-2162.7888346341
CC1CN1C1COC1=O,-1621.601227692
CCN1C2CC(OC)C12,-1866.620274359
CNc1cnc(o1)O,-1284.786399451
C#Cc1ncc(=O)[nH]n1,-1237.02104188
O=COC1CC1CC#N,-1527.8469905291
NC1C(C#N)C11CCO1,-1553.742404432
CC1CC2=C(NC=C2)O1,-1699.3803407331
Cc1cnc(cn1)NC,-1669.069145997
CCC1=CC(CC1)OC,-2017.9377946191
CC(C#N)C1(C)CO1,-1538.578021938
CC(COC=O)C#N,-1399.023157883
OC12CCC(O)(CC1)C2,-1858.589414177
CC#CC1(C)CC(=O)O1,-1630.8632605321
COC1C(=N)NCC1=O,-1529.6912394801
CC1OC2C3COC2C13,-1717.9633922591
CNc1coc(n1)N,-1344.788810031
NC1=NCC(O)CC1=O,-1544.532454839
Cc1coc(c1C)C,-1675.954174745
CC1C2[NH2+]C1C2C([O-])=O,-1574.3968631671
CCn1cccn1,-1357.914415784
CC1C(O)C1(C=O)C#C,-1599.621469949
CCc1c(cccn1)C,-1890.506404444
N=C1OC=NC(=N1)C#C,-1237.193606855
CC1CC2CC12CC=O,-1889.2168734491
N=C1OCC(=O)OC1=N,-1268.875281247
O=C1C2CN(C2)C1C#C,-1526.530476647
CCCC1OCC1C,-1864.5802426001
CC#CC(OC=O)C#C,-1479.888987695
C1C2CC3CCC1C23,-1800.04721704
OC12C3CC1OCC2O3,-1545.6105153011
O=C1NC2CCC2C1=O,-1542.410219401
OCC12CC1C1NC21,-1475.652046927
CC1=CC2CCC1OC2,-1909.6548415791
C#CCC1NC1C1CN1,-1679.671538061
CCn1nc(c(n1)C)C,-1765.508494171
OCC1=NC(=N)NC=N1,-1390.577514252
O=C1CC2CC3C2C13,-1531.521683233
C#CC#CCC#CC=O,-1398.5851566011
C#CC1C2NC1C1OC21,-1496.5267613211
N#CC1NC11CN2CC12,-1473.839800935
CC1NC(=O)C1(C)C,-1674.192129473
CC(C)Oc1cocn1,-1648.311148277
C#CC1C=C2CC3C1C23,-1634.1928232861
COC1C2OC1C2(C)C,-1791.915327909
CN=C1NC(=N)ON=N1,-1231.962691831
OC12CC(C1)OC21CC1,-1707.18843522
CCOC1CCC1C#N,-1792.810783252
O=C1OC2C3CC3OC12,-1458.0479094411
c1nc(c(o1)N)OC=O,-1273.612346688
CC12NC1CC1OC21,-1512.179973326
CC12CC1(CC2O)C#N,-1675.8016900581
CC(C)(C)OC(=O)NC,-1891.910769586
OCCN1N=NOC1=N,-1279.072302497
CC1OCCN=CO1,-1491.301493878
c1[nH]c(c(n1)C=O)N,-1242.231249107
ON=C1C=CNC1=N,-1198.694047178
CN1C(=N)CC=CC1=O,-1612.398808207
CC(=O)OCC(F)(F)F,-1283.4454127181
C1=CC(=O)c2c1nn[nH]2,-1244.217942601
CC1OC2C1CC2(C)C,-1997.727612256
CC12CC(CO)C1C2O,-1822.560357433
CN1CC2OC(C1)C2=O,-1612.112664103
CCc1cccc(=O)[nH]1,-1732.8435131761
COC1C=CCC1(C)O,-1845.520911743
Cc1nc(c(o1)N)NC,-1601.959568483
OC1C2C3C2C1(O)C3=O,-1434.6788467721
CC12OC3CC1C2(O)C3,-1733.184250563
OC1C2C3C2N(C=O)C13,-1485.6319500631
OCC1(CO1)C=O,-1160.200762591
COCC#CCCCO,-1818.3165140661
CC1C2CC1(C)C2O,-1727.205344811
O=CC1C2C3C=CC2C13,-1638.4391766891
OCC1(CN2CC12)C#C,-1619.38737594
CC1(C)CC11CC2NC12,-1919.4715923751
COC1=CC(=N)N=CN1,-1488.2831755881
CCC1CN1CCC=O,-1892.584086743
CC(C)n1ccc(c1)O,-1813.9936045651
C1C2OC3C4CC3(C4)C12,-1720.784045214
Cc1c[nH]c(c1NC)C,-1872.748527253
CC(CC=O)C#C,-1377.0408901041
CC1CC11N2CC1(O)C2,-1732.040301656
CC1CCC(C)(O)CO1,-1973.1851077571
C1C=CC(=O)C12COC2,-1627.5556605931
N#CC12CC(N1)C21CO1,-1401.583394603
CC(C)C(C)C(=O)C#N,-1813.2211409861
OCC(=O)C(C#C)C#N,-1390.2198341221
CC1OC(=N)CCC1O,-1755.337828299
O=C1CC2(O1)C1CC2O1,-1424.317418164
N=C1NC(=N)NC(=O)N1,-1313.768530125
C#CCCC#N,-1071.663007745
O=CNC1C2CCC1O2,-1629.883091474
OC1C2CC1(CC#N)C2,-1657.072428935
CC1(C)OC2C3CC2C13,-1876.17660892
CCC(C)C1(CO1)C=O,-1843.2229737851
CC1OCCC2(C)OC12,-1846.1565783601
CCC(O)CC(C)C,-1991.785102026
CC(C)N(C=O)C(C)C,-2039.898727092
C#Cc1cccnc1,-1381.623588331
CCOc1c[nH]c(=O)[nH]1,-1554.6660976801
OCC1C(CC1=O)C=O,-1577.121507245
C#CCC1(CO1)C#C,-1358.0066596071
C1C(CO1)OC=O,-1169.354236374
OC1C2CCC1(N2)C#N,-1564.971050478
O=C1CC2NC1CC=C2,-1695.583911283
CCC1COCC11CC1,-2005.465425735
CC1(CC(=O)CC=C1)C,-1924.9535109991
O=CCCC#CC1CO1,-1594.4357355731
COC1COCCO1,-1532.337444933
CCc1ccncc1N,-1778.5537787721
CC1=CC(=O)CCOC1,-1749.920543102
COC1C2COC1CO2,-1668.3424905751
CN1CC2(CN2)C1=O,-1423.664181295
C1C2OC3C2CC=CC13,-1778.339798203
CC1C2OCC3OC3C12,-1710.371160868
CC1OCC23CC12CO3,-1698.337420775
NC(=O)C12CC3CC1C23,-1671.009403825
OC1C2CC3OC3C12O,-1544.1597144931
CC1OC1CCCCO,-1948.3959922211
COCC12CC1CC2C,-1987.1101599761
CCC(=O)OC(C)CO,-1824.820644851
CC1CC2NC2C1C#C,-1811.5701648071
CC12COC3CC1C2C3,-1905.422920883
OCC(=O)C(O)C#N,-1218.936860009
OCC1(CC1C#N)C=O,-1520.7530012841
O=CNCC1CNC1=O,-1553.4242573691
COC1CC2(O)COC12,-1645.556383767
CCc1c(non1)CC,-1675.730154032
CC1C2OC3CCN1C23,-1768.352364959
C1COCC=C1NC=O,-1648.1216405591
CC(C)C#CC(=O)C,-1648.2013342021
CCC12CCC1(CO)N2,-1878.3063744661
c1cncnc1CC#N,-1450.95141016
COC1COC(=O)O1,-1294.150716258
N=C1NN=CC=C1C#N,-1315.354245368
C1Oc2c(noc2O1)O,-1154.910234212
CC#CC(=O)CC#N,-1319.1086317151
CC1CC(=O)N1CC#C,-1674.386657263
CC(O)(C#N)C(O)C=O,-1473.4250174861
CC1OC2CN3C2C13C,-1765.312711363
CC12CC3(CC3)CC1O2,-1892.1398103711
CC(=O)C12C3CC1CC23,-1769.974475724
O=C1CCCC2CC2O1,-1746.233927727
N=C1COC(O1)C1CN1,-1509.658642164
COCC(=N)OCC#C,-1593.215230568
N=C1CC2CC(CO1)O2,-1622.5362161021
Cc1c(=O)c(non1)C,-1388.951638433
O=CC(CCC#C)C#C,-1636.362749408
O=C1C2C3C2N1C3C#N,-1318.3575034421
C#Cc1c([nH]c(n1)O)N,-1362.260543118
CC12C3OC1C1(CN1)C23,-1613.053300094
CC12C3C4C3C1(C#C)N24,-1523.6997835481
COc1c(onn1)C=O,-1228.962571302
CC(O)C1C2OC1C2C,-1800.3760317561
COCC#CCCO,-1563.138724198
CCOC(C)C(C)CO,-2069.904952454
C1C=CC=CC(=O)CO1,-1624.6358612161
C(c1c(n[nH]c1O)N)O,-1426.335487108
O=C1CCC2OC2CC1,-1740.9277116231
c1cc(oc1)OC2CC2,-1620.823116532
Cc1nc(c(o1)N)C#C,-1470.2962576121
CC12CC1CC1CC21C,-2054.6037729981
CCCOCC(O)C=O,-1796.3405213771
CC1C2C3OC3C1C2C,-1864.8670142131
CNC(=O)C(=O)C1CC1,-1655.479183584
COC(C#N)C(C)C,-1657.695545372
CC1COC1CCO,-1691.015645763
CN=C(CC#C)OC,-1510.170061999
C1C2OC3=NCCN1C23,-1536.3070668671
Cc1c(c(cn1C)N)O,-1704.5654476
COCC1CCCCO1,-1959.8950946461
CC12CC(=O)C3CN1C23,-1669.190882743
CCC1(C)OCC1C,-1867.1247915951
CCC12NC1CC(C)=C2,-1954.264456389
CC12CC(C)(O1)C21CO1,-1683.6022544371
O=C1C=CC23CC12OC3,-1481.2199342841
CC1CCCC(=O)C1O,-1870.4323915341
N#CC1NCC1C1CN1,-1600.011153038
CCC(O)C(C)C=O,-1714.976449419
OCC1COC2C(O)C12,-1661.934368667
CC1(CO1)C1(CC1)C=O,-1722.56868081
Cc1c(n(nn1)C=O)N,-1371.013666159
NC=N[C-](C#N)C(N)=[NH2+],-1443.817887848
N#CC1N=C2CC3C1N23,-1343.961753169
