Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles
1,188.657,0,2,1,0.0,-4.88,c1c(Cl)cccc1c2ccccc2
1,86.134,1,0,3,20.23,-0.15,OCCCC=C
1,168.15200000000002,2,2,0,75.27,-1.655,O=C2NC(=O)C1(CCC1)C(=O)N2
1,156.269,1,1,1,20.23,-2.53,CC(C)C1CCC(C)CC1O 
1,88.106,0,0,2,26.3,-0.63,CC(C)OC=O
1,116.20399999999998,1,0,4,20.23,-1.55,CCCCCC(C)O
1,214.062,1,1,1,29.1,-3.083,CC(=O)Nc1ccc(Br)cc1
1,266.098,1,2,1,60.91,-3.127,c1ccccc1n2ncc(N)c(Br)c2(=O)
1,346.33900000000017,1,2,4,107.77,-4.76,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C 
1,157.216,0,2,0,12.89,-1.94,c2c(C)cc1nc(C)ccc1c2 
1,110.2,0,0,4,0.0,-3.66,CCCCCCC#C
1,236.271,2,2,2,75.27000000000001,-2.17,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 
2,228.294,0,4,0,0.0,-8.057,c1ccc2c(c1)ccc3c4ccccc4ccc23
1,261.119,1,1,2,54.86,-2.523,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O 
1,360.88200000000006,0,2,1,0.0,-8.6,Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl 
1,108.14,1,1,0,20.23,-0.62,Cc1ccccc1O
1,128.259,0,0,2,0.0,-5.05,CC(C)CCC(C)(C)C
1,156.228,0,2,0,0.0,-4.14,Cc1ccc(C)c2ccccc12
1,242.321,0,4,0,0.0,-6.57,Cc1cc2c3ccccc3ccc2c4ccccc14
1,86.13399999999999,0,0,2,17.07,-0.19,CCCC(=O)C
1,429.77200000000016,0,2,1,0.0,-9.15,Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl 
1,116.15999999999998,0,0,3,26.3,-0.82,CCCOC(=O)CC
1,394.43900000000014,4,4,2,115.06000000000002,-3.68,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO
1,109.128,2,1,0,46.25,-0.8,Nc1ccc(O)cc1
1,260.253,1,2,5,90.06,-2.81,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2
1,366.84400000000016,1,4,2,54.37,-5.931,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O
1,229.715,1,1,5,53.940000000000005,-4.06,CCNc1nc(Cl)nc(n1)N(CC)CC
1,123.11499999999998,1,1,1,68.87,-0.667,NC(=O)c1cnccn1
1,237.097,2,0,3,72.19,-2.68,CCC(Br)(CC)C(=O)NC(N)=O
1,223.102,0,2,1,0.0,-5.27,Clc1ccccc1c2ccccc2Cl 
1,238.159,1,2,3,118.04999999999998,-3.38,O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 
1,284.098,0,2,3,52.37,-5.46,Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2
1,152.237,0,2,0,17.07,-1.96,CC1(C)C2CCC1(C)C(=O)C2
1,244.25,2,2,3,75.27000000000001,-2.369,O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1
1,130.18699999999998,0,0,4,26.3,-2.25,CCCCC(=O)OCC
1,130.18699999999998,0,0,3,26.3,-1.92,CC(C)CCOC(=O)C
1,380.444,1,3,8,75.71,-5.886,O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
1,257.547,0,2,1,0.0,-6.01,Clc1cccc(c1)c2cc(Cl)ccc2Cl 
1,122.993,0,0,1,0.0,-1.73,CCCBr
1,342.2260000000001,0,3,5,49.17,-3.4930000000000003,CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl
1,257.273,0,0,6,55.84,-1.995,COP(=S)(OC)SCC(=O)N(C)C=O
1,146.15299999999996,0,2,0,51.56,-0.466,Cc1ncnc2nccnc12
1,76.12400000000001,2,0,0,52.04,0.32,NC(=S)N
1,106.168,0,1,0,0.0,-2.77,Cc1ccc(C)cc1
1,134.22199999999998,0,1,2,0.0,-3.28,CCc1ccccc1CC
1,236.74,0,0,0,0.0,-3.67,ClC(Cl)(Cl)C(Cl)(Cl)Cl
1,451.4690000000001,0,3,9,68.55000000000001,-6.876,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3
1,89.09399999999998,0,0,2,43.14,-0.8,CCCN(=O)=O
1,154.253,0,1,1,17.07,-2.35,CC(C)C1CCC(C)CC1=O
1,273.723,1,3,1,45.23,-5.36,CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 
1,192.00100000000003,0,1,1,43.14,-3.48,O=N(=O)c1c(Cl)c(Cl)ccc1
1,254.355,2,1,5,58.2,-3.46,CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O 
2,202.256,0,4,0,0.0,-6.0,c1ccc2c(c1)c3cccc4cccc2c34
1,102.17699999999998,0,0,3,9.23,-1.34,CCCOC(C)C
1,156.22799999999998,0,2,0,0.0,-4.29,Cc1cc(C)c2ccccc2c1
1,268.356,2,2,4,40.46,-4.07,CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 
1,265.914,0,1,0,47.58,-5.64,c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1
1,291.992,0,2,1,0.0,-7.25,Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2
2,120.15099999999995,0,2,1,12.53,-1.6,C1OC1c2ccccc2 
1,120.19499999999996,0,1,1,0.0,-3.27,CC(C)c1ccccc1
1,330.4680000000001,1,4,2,54.370000000000005,-3.45,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO
1,267.93,0,2,0,25.78,-5.43,c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) 
1,150.13,4,1,0,90.15,0.39,C1OC(O)C(O)C(O)C1O
1,84.93299999999999,0,0,0,0.0,-0.63,ClCCl
1,156.22799999999998,0,2,1,0.0,-4.17,CCc1cccc2ccccc12
1,60.05200000000001,0,0,1,26.3,0.58,COC=O
1,139.11,1,1,1,63.37,-1.74,Oc1ccccc1N(=O)=O
1,126.115,2,1,0,65.72,-1.506,Cc1c[nH]c(=O)[nH]c1=O 
1,58.124,0,0,0,0.0,-2.55,CC(C)C
1,268.22900000000004,4,3,2,133.75,-1.23,OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23
1,370.915,1,1,0,44.02,-3.61,Oc1c(I)cc(C#N)cc1I
1,327.1230000000001,2,2,3,92.47,-4.7,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O
1,72.151,0,0,2,0.0,-3.18,CCCCC
1,94.113,1,1,0,20.23,0.0,c1ccccc1O
1,193.249,1,3,0,26.02,-5.17,Nc3ccc2cc1ccccc1cc2c3 
1,180.167,1,2,0,72.68,-2.523,Cn1cnc2n(C)c(=O)[nH]c(=O)c12 
2,129.16199999999998,0,2,0,12.89,-1.45,c1ccc2cnccc2c1
1,367.86,0,1,7,38.77,-4.432,COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1
1,162.276,0,1,5,0.0,-5.21,CCCCCCc1ccccc1
1,188.657,0,2,1,0.0,-4.54,Clc1ccccc1c2ccccc2
1,84.16199999999999,0,0,2,0.0,-3.03,CCCC(=C)C
1,114.232,0,0,2,0.0,-4.8,CC(C)C(C)C(C)C
1,250.339,0,1,0,0.0,-5.65,Clc1cc(Cl)c(Cl)c(Cl)c1Cl
1,139.11,1,1,1,63.37,-1.01,Oc1cccc(c1)N(=O)=O
1,140.26999999999998,0,0,7,0.0,-5.51,CCCCCCCCC=C
1,218.205,0,0,5,78.9,-0.6,CC(=O)OCC(COC(=O)C)OC(=O)C
1,209.293,1,1,4,49.25000000000001,-2.24,CCCCc1c(C)nc(nc1O)N(C)C 
1,434.29400000000015,0,3,6,59.32000000000001,-7.337000000000001,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2
2,79.10199999999998,0,1,0,12.89,0.76,c1ccncc1
1,179.101,0,0,5,0.0,-4.43,CCCCCCCBr
1,107.156,0,1,0,12.89,0.36,Cc1ccncc1C
1,380.4560000000001,3,4,2,94.83,-3.43,CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO 
1,225.313,1,1,4,38.33,-2.09,CCSCc1ccccc1OC(=O)NC 
1,160.16899999999998,0,0,4,52.60000000000001,-0.82,CCOC(=O)CC(=O)OCC
1,136.238,0,1,1,0.0,-4.26,CC1=CCC(CC1)C(C)=C
2,118.17899999999996,0,2,0,0.0,-3.04,C1Cc2ccccc2C1
1,150.22099999999998,1,1,0,20.23,-2.41,CC(C)(C)c1ccc(O)cc1
1,154.125,2,2,0,75.27,-1.886,O=C2NC(=O)C1(CC1)C(=O)N2 
1,238.455,0,1,0,0.0,-3.55,Clc1cccc(I)c1
1,207.07,0,2,0,0.0,-4.35,Brc1cccc2ccccc12
1,70.135,0,0,1,0.0,-2.54,CC/C=C/C
1,107.156,0,1,0,12.89,0.45,Cc1cccc(C)n1
1,131.389,0,0,0,0.0,-1.96,ClC=C(Cl)Cl
1,143.189,1,2,0,26.02,-1.92,Nc1cccc2ccccc12
1,106.168,0,1,0,0.0,-2.82,Cc1cccc(C)c1
1,148.125,1,2,0,71.79,-1.947,Oc2ncc1nccnc1n2
1,32.042,1,0,0,20.23,1.57,CO
1,226.276,2,1,4,75.27000000000001,-2.468,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
1,72.107,0,0,1,17.07,0.52,CCC(=O)C
1,130.078,2,1,0,65.72,-1.077,Fc1c[nH]c(=O)[nH]c1=O 
1,266.257,4,3,2,126.65,-1.95,Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O 
1,110.11199999999998,2,1,0,40.46,0.81,Oc1cccc(O)c1
1,102.177,1,0,4,20.23,-1.24,CCCCCCO
1,106.596,0,0,3,0.0,-2.73,CCCCCCl
1,54.09199999999999,0,0,1,0.0,-1.87,C=CC=C
1,102.13299999999998,0,0,2,26.3,-0.72,CCCOC(=O)C
1,148.205,1,2,0,20.23,-1.99,Oc2ccc1CCCCc1c2 
1,93.513,1,0,1,43.09,-0.02,NC(=O)CCl 
1,413.0,0,1,4,27.69,-6.62,COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl
1,126.586,0,1,0,0.0,-3.08,Cc1ccc(Cl)cc1
1,214.294,1,1,1,73.8,-2.253,CSc1nnc(c(=O)n1N)C(C)(C)C
1,368.3690000000001,0,3,6,44.760000000000005,-6.01,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1
1,100.161,0,0,4,17.07,-1.3,CCCCCC=O
1,193.246,1,1,4,52.32,-3.082,CCCCOC(=O)c1ccc(N)cc1
1,255.277,1,3,0,68.45,-3.043,O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 
1,154.253,1,0,4,20.23,-2.46,CC(C)=CCC/C(C)=C\CO
1,223.102,0,2,1,0.0,-5.28,Clc1ccc(cc1)c2ccccc2Cl 
1,408.498,1,3,10,75.71,-6.523,O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
1,75.067,0,0,1,43.14,-0.22,CCN(=O)=O
1,333.266,0,1,6,89.51999999999998,-6.124,CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O
1,215.894,0,1,0,0.0,-4.57,Clc1ccc(Cl)c(Cl)c1Cl
1,218.253,2,0,6,104.64,-1.807,CCCC(C)(COC(N)=O)COC(N)=O 
1,316.48500000000007,1,4,1,37.3,-4.65,CC(=O)C3CCC4C2CC=C1CC(O)CCC1(C)C2CCC34C 
1,141.939,0,0,0,0.0,-1.0,CI
1,281.35200000000003,2,2,3,83.47,-1.13,CC1CC(C)C(=O)C(C1)C(O)CC2CC(=O)NC(=O)C2 
1,394.471,1,3,9,75.71,-6.301,O=C1N(COC(=O)CCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
1,138.20999999999998,0,1,0,17.07,-1.06,CC1=CC(=O)CC(C)(C)C1 
1,212.249,2,1,3,75.27000000000001,-2.39,O=C1NC(=O)NC(=O)C1(CC)C(C)CC
1,142.242,0,0,6,17.07,-2.58,CCCCC(=O)CCCC
1,217.268,1,2,2,46.17,-2.337,CCC1(CCC(=O)NC1=O)c2ccccc2 
1,86.178,0,0,2,0.0,-3.68,CCC(C)CC
1,376.496,0,3,9,27.69,-8.6,CCOc1ccc(cc1)C(C)(C)COCc3cccc(Oc2ccccc2)c3
1,250.301,0,3,1,34.89,-2.925,Cc1ccccc1n3c(C)nc2ccccc2c3=O
1,75.498,0,0,0,23.79,-0.092,ClCC#N
1,333.60400000000004,0,1,5,18.46,-5.752000000000001,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl
1,312.45300000000003,1,4,0,37.3,-5.66,CC12CCC(=O)C=C1CCC3C2CCC4(C)C3CCC4(O)C#C 
2,80.08999999999999,0,1,0,25.78,1.1,c1ccnnc1
1,215.894,0,1,0,0.0,-4.63,Clc1cc(Cl)c(Cl)c(Cl)c1
1,414.63000000000017,1,6,0,38.69,-7.32,C1C(O)CCC2(C)CC3CCC4(C)C5(C)CC6OCC(C)CC6OC5CC4C3C=C21
1,109.128,2,1,0,46.25,-0.72,Nc1ccccc1O
1,186.295,0,0,8,26.3,-3.8,CCCCCCCCC(=O)OCC
1,279.336,0,1,5,55.84,-1.601,COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C 
1,209.245,1,1,3,47.56,-2.05,CNC(=O)Oc1ccccc1OC(C)C
1,92.569,0,0,1,0.0,-1.96,CCC(C)Cl
1,144.17299999999997,1,2,0,20.23,-2.28,Oc1ccc2ccccc2c1
1,345.22600000000017,0,2,3,57.26,-5.696000000000001,CC(C)Oc1cc(c(Cl)cc1Cl)n2nc(oc2=O)C(C)(C)C
1,82.14599999999999,0,0,2,0.0,-2.36,CCCCC#C
1,124.227,0,0,5,0.0,-4.24,CCCCCCCC#C
1,126.586,0,1,0,0.0,-3.52,Cc1ccccc1Cl
1,102.177,0,0,2,9.23,-1.1,CC(C)OC(C)C
1,248.307,2,2,2,86.18,-3.094,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2
1,46.073,2,0,0,38.05,1.34,CNN
1,40.065000000000005,0,0,0,0.0,-0.41,CC#C
1,298.304,0,1,7,63.84,-4.862,CCOP(=S)(OCC)ON=C(C#N)c1ccccc1
1,281.314,1,0,7,56.790000000000006,-3.408,CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C
1,56.064,0,0,1,17.07,0.57,C=CC=O
1,136.114,2,2,0,74.43,-2.296,O=c1[nH]cnc2nc[nH]c12 
1,145.161,1,2,0,33.120000000000005,-2.16,Oc2ccc1ncccc1c2 
1,96.10399999999998,0,1,0,0.0,-1.8,Fc1ccccc1
1,78.542,0,0,1,0.0,-1.47,CCCCl
1,88.106,0,0,1,26.3,-0.04,CCOC(=O)C
1,100.20499999999998,0,0,1,0.0,-4.36,CCCC(C)(C)C
1,148.249,0,1,0,0.0,-4.0,Cc1cc(C)c(C)c(C)c1C
1,154.253,0,3,0,9.23,-1.64,CC12CCC(CC1)C(C)(C)O2 
1,314.46600000000007,0,0,15,52.60000000000001,-3.896,CCCCOC(=O)CCCCCCCCC(=O)OCCCC
1,223.102,0,2,1,0.0,-6.56,Clc1ccc(cc1)c2ccc(Cl)cc2 
1,107.156,0,1,0,12.89,0.38,Cc1cccnc1C
1,150.22099999999998,0,1,1,17.07,-2.06,CC(=C)C1CC=C(C)C(=O)C1
1,342.875,0,1,8,18.46,-5.736000000000001,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1
1,588.5620000000001,3,7,5,160.83,-3.571,COc1cc(cc(OC)c1O)C6C2C(COC2=O)C(OC4OC3COC(C)OC3C(O)C4O)c7cc5OCOc5cc67
2,252.316,0,5,0,0.0,-8.804,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
1,182.135,0,1,2,86.28,-2.82,Cc1ccc(cc1N(=O)=O)N(=O)=O
1,207.07,0,2,0,0.0,-4.4,c1c(Br)ccc2ccccc12 
1,221.26,1,1,3,53.93,-2.34,CNC(=O)Oc1cccc(N=CN(C)C)c1
1,162.15200000000002,0,2,1,60.790000000000006,-1.139,COc2cnc1ncncc1n2
1,266.30400000000003,1,4,1,58.120000000000005,-3.19,Cc3ccnc4N(C1CC1)c2ncccc2C(=O)Nc34 
1,313.747,0,1,7,58.4,-3.658,CCOP(=S)(OCC)Oc1nc(Cl)n(n1)C(C)C
1,68.11900000000001,0,0,1,0.0,-2.03,CC(=C)C=C
1,154.253,1,0,4,20.23,-1.99,CC(C)=CCCC(O)(C)C=C
1,278.335,0,1,5,27.69,-4.57,COP(=S)(OC)Oc1ccc(SC)c(C)c1
1,100.161,1,1,0,20.23,-0.44,OC1CCCCC1
1,182.179,2,1,2,75.27000000000001,-1.16,O=C1NC(=O)NC(=O)C1(C)CC=C
1,290.447,1,4,0,37.3,-4.16,CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O
1,182.172,6,0,5,121.38,0.06,OCC(O)C(O)C(O)C(O)CO 
1,168.239,0,2,1,0.0,-4.62,Cc1ccc(cc1)c2ccccc2
1,215.688,2,1,4,62.73,-3.85,CCNc1nc(Cl)nc(NC(C)C)n1
1,152.22199999999998,2,1,1,38.05,-1.77,NC(=S)Nc1ccccc1
1,114.188,0,0,4,17.07,-1.3,CCCC(=O)CCC
1,100.161,0,0,0,17.07,-0.72,CC(=O)C(C)(C)C
1,128.558,1,1,0,20.23,-0.7,Oc1ccc(Cl)cc1
1,98.145,0,1,0,17.07,-0.6,O=C1CCCCC1
1,107.156,1,1,0,26.02,-0.85,Cc1cccc(N)c1
1,144.388,0,0,0,23.79,-2.168,ClC(Cl)(Cl)C#N
1,303.67100000000005,1,2,2,46.92,-4.046,CNc2cnn(c1cccc(c1)C(F)(F)F)c(=O)c2Cl
1,156.269,0,0,7,17.07,-3.3,CCCCCCCCC(=O)C
1,243.742,1,1,5,53.940000000000005,-3.785,CCN(CC)c1nc(Cl)nc(NC(C)C)n1
1,165.19199999999998,1,1,2,52.32,-2.616,CCOC(=O)c1ccc(N)cc1
1,181.449,0,1,0,0.0,-3.59,Clc1ccc(Cl)c(Cl)c1
1,343.2170000000001,0,4,1,43.07,-4.09,Cc3nnc4CN=C(c1ccccc1Cl)c2cc(Cl)ccc2n34
1,110.11199999999998,2,1,0,40.46,0.62,Oc1ccccc1O
1,254.293,0,3,1,49.330000000000005,-2.62,CCN2c1ncccc1N(C)C(=O)c3cccnc23 
1,62.137,0,0,0,0.0,-0.45,CSC
1,171.03699999999998,0,1,0,0.0,-2.23,Cc1ccccc1Br
1,89.09400000000001,1,0,1,52.32,0.85,CCOC(=O)N
1,384.5160000000002,0,4,2,60.440000000000005,-5.35,CC(=O)OC3(CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C)C(C)=O 
1,116.20399999999998,1,0,2,20.23,-1.22,CC(C)C(O)C(C)C
2,128.17399999999995,0,2,0,0.0,-3.6,c1ccc2ccccc2c1
1,121.18299999999996,1,1,2,12.03,-1.7,CCNc1ccccc1
1,252.273,2,3,2,58.2,-4.097,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3
1,256.348,0,4,0,0.0,-7.02,Cc1c2ccccc2c(C)c3ccc4ccccc4c13
1,393.85400000000016,0,2,8,55.84,-6.34,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O
1,345.6529999999999,0,2,4,18.46,-6.89,COc1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl
1,381.1120000000001,2,2,2,58.2,-7.28,Fc1cccc(F)c1C(=O)NC(=O)Nc2cc(Cl)c(F)c(Cl)c2F 
1,366.417,1,3,7,75.71,-4.678,O=C1N(COC(=O)CCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3
1,198.653,1,1,1,32.34,-2.89,CN(C)C(=O)Nc1ccc(Cl)cc1
1,301.296,1,3,4,50.94,-3.37,OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F
1,478.51300000000026,2,4,4,127.20000000000002,-4.13,CC(=O)OCC(=O)C3(O)C(CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)OC(C)=O 
1,137.01999999999998,0,0,2,0.0,-2.37,CCCCBr
1,393.698,0,1,0,0.0,-6.98,Brc1cc(Br)c(Br)cc1Br
1,100.161,0,0,2,17.07,-0.74,CC(C)CC(=O)C
1,215.362,0,1,3,20.31,-3.4,CCSC(=O)N(CC)C1CCCCC1 
1,142.585,0,1,1,9.23,-2.78,COc1ccc(Cl)cc1
1,505.2060000000002,0,3,6,59.32000000000001,-8.402000000000001,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2
1,224.26,2,1,4,75.27000000000001,-2.016,CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O
1,277.238,0,1,5,70.83000000000001,-4.04,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1
1,254.07,0,2,0,0.0,-4.55,Ic1cccc2ccccc12
1,182.172,6,0,5,121.38,1.09,OCC(O)C(O)C(O)C(O)CO
1,62.137,1,0,0,0.0,-0.6,CCS
1,133.405,0,0,1,0.0,-1.48,ClCC(Cl)Cl
1,245.282,0,2,2,47.36000000000001,-2.09,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2
1,137.13799999999998,2,1,1,63.32000000000001,-1.82,NC(=O)c1ccccc1O
1,137.138,0,1,1,43.14,-2.33,Cc1ccccc1N(=O)=O
1,212.249,2,1,2,75.27000000000001,-2.766,O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C
1,120.19499999999996,0,1,1,0.0,-3.21,CCc1ccccc1C
1,134.65,0,0,5,0.0,-4.0,CCCCCCCCl
1,184.195,2,1,2,75.27000000000001,-2.4,O=C1NC(=O)NC(=O)C1(CC)CC
2,182.266,0,2,3,0.0,-4.62,C(Cc1ccccc1)c2ccccc2
1,167.85,0,0,1,0.0,-1.74,ClC(Cl)C(Cl)Cl
1,283.331,1,3,2,54.46,-5.153,CCN2c1cc(OC)cc(C)c1NC(=O)c3cccnc23 
1,192.261,0,3,0,0.0,-5.84,Cc1ccc2c(ccc3ccccc32)c1
1,278.348,0,1,8,52.60000000000001,-4.4,CCCCOC(=O)c1ccccc1C(=O)OCCCC 
1,261.919,1,1,1,29.46,-4.02,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl 
1,299.6909999999999,0,0,8,65.07000000000001,0.523,CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl
1,268.356,1,4,0,37.3,-5.282,CC34CCC1C(=CCc2cc(O)ccc12)C3CCC4=O
1,414.82700000000017,1,2,8,127.79,-4.5760000000000005,CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2
1,153.13699999999997,0,1,2,52.37,-2.41,COc1ccc(cc1)N(=O)=O
1,120.623,0,0,4,0.0,-3.12,CCCCCCCl
1,429.77200000000016,0,2,1,0.0,-9.16,Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl
1,504.4380000000001,11,3,8,268.67999999999995,-0.41,OCC1OC(CO)(OC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C1O
1,366.7180000000002,0,0,23,0.0,-8.334,CCCCCCCCCCCCCCCCCCCCCCCCCC
